month,date,day,calories burned,steps,distance,floors,minutes sedentary,minutes lightly active,minutes fairly active,minutes very active,activity calories,minutes asleep,minutes awake,number of awakenings,time in bed
16-Sep,9/10/16,Sat,1939,11360,5,0,706,175,43,28,889,454,34,4,488
16-Sep,9/11/16,Sun,1911,11042,5,0,727,150,11,52,829,466,32,3,500
16-Sep,9/12/16,Mon,1783,8362,3,0,852,155,17,27,693,373,16,2,389
16-Sep,9/13/16,Tue,2150,16082,7,0,747,163,46,65,1125,404,15,2,419
16-Sep,9/14/16,Wed,1633,5643,2,0,824,118,6,24,493,454,14,1,468
16-Sep,9/15/16,Thu,1736,7930,3,0,765,110,18,34,606,495,18,2,513
16-Sep,9/16/16,Fri,2324,19918,8,0,694,112,63,111,1311,455,5,0,460
16-Sep,9/17/16,Sat,2030,12655,5,0,696,182,29,67,1006,461,5,0,466
16-Sep,9/18/16,Sun,1668,7078,3,0,829,74,15,42,515,469,10,1,480
16-Sep,9/19/16,Mon,1820,9399,4,0,736,134,16,42,724,490,22,1,512
16-Sep,9/20/16,Tue,2030,13739,6,0,670,120,44,71,966,521,14,1,535
16-Sep,9/21/16,Wed,1656,6148,3,0,793,126,12,22,532,456,17,1,478
16-Sep,9/22/16,Thu,1934,11763,5,0,646,125,30,63,860,552,24,3,584
16-Sep,9/23/16,Fri,1982,12543,5,0,776,153,16,58,908,410,27,1,437
16-Sep,9/24/16,Sat,1914,10628,5,0,570,137,13,51,823,656,13,1,669
16-Sep,9/25/16,Sun,1979,13036,5,0,865,91,29,87,894,340,28,2,368
16-Sep,9/26/16,Mon,1841,8762,4,0,713,232,2,10,787,423,22,3,483
16-Sep,9/27/16,Tue,1992,13142,5,0,1217,101,50,72,909,0,0,0,0
16-Sep,9/28/16,Wed,1915,11655,5,0,710,100,46,61,832,503,20,2,523
16-Sep,9/29/16,Thu,1826,9657,4,0,669,132,28,34,732,513,33,3,546
16-Sep,9/30/16,Fri,1819,9263,4,0,737,146,11,32,721,504,41,3,545
16-Oct,10/1/16,Sat,2125,13884,6,0,690,244,10,62,1135,410,24,2,434
16-Oct,10/2/16,Sun,1821,8266,3,0,723,233,2,6,766,443,33,2,476
16-Oct,10/3/16,Mon,1332,1080,0,0,1417,23,0,0,83,0,0,0,0
16-Oct,10/4/16,Tue,1264,0,0,0,1440,0,0,0,0,0,0,0,0
16-Oct,10/5/16,Wed,1927,11535,5,0,1211,130,47,52,857,0,0,0,0
16-Oct,10/6/16,Thu,2112,14861,6,0,652,162,16,90,1082,492,28,2,520
16-Oct,10/7/16,Fri,1786,8955,4,0,665,115,17,40,666,550,24,2,574
16-Oct,10/8/16,Sat,1501,4009,2,0,906,56,17,9,303,470,11,1,481
16-Oct,10/9/16,Sun,1264,0,0,0,1440,0,0,0,0,0,0,0,0
16-Oct,10/10/16,Mon,1690,6334,3,0,1259,157,3,21,585,0,0,0,0
16-Oct,10/11/16,Tue,1891,10944,4,0,677,133,24,48,803,529,20,2,549
16-Oct,10/12/16,Wed,1675,7594,3,0,710,53,38,35,521,577,21,2,598
16-Oct,10/13/16,Thu,1724,7149,3,0,690,153,9,22,620,529,37,1,566
16-Oct,10/14/16,Fri,2230,18197,8,0,648,106,81,90,1209,522,7,0,529
16-Oct,10/15/16,Sat,2009,12525,5,0,696,195,16,50,970,461,14,3,483
16-Oct,10/16/16,Sun,1761,7900,3,0,790,152,15,28,665,444,11,0,455
16-Oct,10/17/16,Mon,1763,8523,4,0,742,127,13,36,652,513,9,0,522
16-Oct,10/18/16,Tue,1947,11985,5,0,1221,135,23,61,873,0,0,0,0
16-Oct,10/19/16,Wed,1933,11668,5,0,679,130,55,51,874,515,9,0,525
16-Oct,10/20/16,Thu,1856,9698,4,0,723,156,27,39,786,471,20,1,495
16-Oct,10/21/16,Fri,1826,10008,4,0,862,90,45,50,725,380,13,1,393
16-Oct,10/22/16,Sat,1844,8772,4,0,716,182,21,36,788,471,14,1,485
16-Oct,10/23/16,Sun,2169,15736,6,0,664,210,36,60,1171,458,12,1,470
16-Oct,10/24/16,Mon,1933,11327,5,0,773,153,46,39,874,411,17,1,429
16-Oct,10/25/16,Tue,2019,13593,6,0,740,125,37,71,955,378,11,2,426
16-Oct,10/26/16,Wed,1993,12630,5,0,733,175,26,46,946,476,24,3,500
16-Oct,10/27/16,Thu,1891,10772,4,0,704,139,21,50,812,517,9,1,526
16-Oct,10/28/16,Fri,1913,17229,7,0,680,217,15,42,890,470,16,1,486
16-Oct,10/29/16,Sat,2016,13437,6,0,590,136,58,54,967,581,21,1,602
16-Oct,10/30/16,Sun,1815,9540,4,0,742,135,19,41,722,485,18,1,503
16-Oct,10/31/16,Mon,2027,13593,6,0,773,133,62,58,980,391,23,3,414
16-Nov,11/1/16,Tue,1780,11163,5,0,746,111,4,51,662,511,17,1,528
16-Nov,11/2/16,Wed,1859,10157,4,0,747,153,23,41,785,455,21,0,476
16-Nov,11/3/16,Thu,1616,5973,2,0,826,88,4,25,452,491,6,0,497
16-Nov,11/4/16,Fri,1729,6737,3,0,754,178,8,16,638,469,14,0,484
16-Nov,11/5/16,Sat,2064,13861,6,0,720,202,15,49,1022,447,7,0,454
16-Nov,11/6/16,Sun,2422,19254,8,0,606,227,39,92,1388,461,5,1,466
16-Nov,11/7/16,Mon,1552,4335,2,0,790,90,4,23,391,518,25,2,543
16-Nov,11/8/16,Tue,1881,10314,4,0,779,176,16,35,813,412,22,1,434
16-Nov,11/9/16,Wed,1877,10529,4,0,777,135,48,31,797,438,11,1,449
16-Nov,11/10/16,Thu,1781,8896,4,0,828,134,12,30,671,419,17,2,436
16-Nov,11/11/16,Fri,2215,16238,7,0,644,209,36,74,1223,466,11,0,477
16-Nov,11/12/16,Sat,1883,7859,3,0,1168,251,7,14,803,0,0,0,0
16-Nov,11/13/16,Sun,1612,5145,2,0,859,151,0,0,471,418,12,1,430
16-Nov,11/14/16,Mon,1264,0,0,0,1440,0,0,0,0,0,0,0,0
16-Nov,11/15/16,Tue,1407,2685,1,0,1440,0,0,0,0,0,0,0,0
16-Nov,11/16/16,Wed,1266,14,0,0,1440,0,0,0,0,0,0,0,0
16-Nov,11/17/16,Thu,1266,10,0,0,1439,1,0,0,2,0,0,0,0
16-Nov,11/18/16,Fri,1264,0,0,0,1440,0,0,0,0,0,0,0,0
16-Nov,11/19/16,Sat,1264,0,0,0,1440,0,0,0,0,0,0,0,0
16-Nov,11/20/16,Sun,1264,0,0,0,1440,0,0,0,0,0,0,0,0
16-Nov,11/21/16,Mon,1893,12746,5,0,1209,139,26,54,821,0,0,0,0
16-Nov,11/22/16,Tue,1939,12099,5,0,669,121,47,42,859,512,31,3,543
16-Nov,11/23/16,Wed,1863,10099,4,0,723,129,23,54,780,520,17,2,541
16-Nov,11/24/16,Thu,1658,5072,2,0,699,186,4,10,569,441,27,1,476
16-Nov,11/25/16,Fri,1763,7664,3,0,695,167,5,27,672,573,38,3,611
16-Nov,11/26/16,Sat,1882,10319,4,0,798,173,21,36,819,405,7,1,412
16-Nov,11/27/16,Sun,1626,6018,2,0,797,92,10,29,477,501,11,1,512
16-Nov,11/28/16,Mon,2020,13134,5,0,730,196,13,42,976,447,12,0,459
16-Nov,11/29/16,Tue,1741,7724,3,0,1258,129,13,40,635,0,0,0,0
16-Nov,11/30/16,Wed,1952,11891,5,0,629,161,61,35,914,524,30,3,554
16-Dec,12/1/16,Thu,1758,8050,3,0,766,132,8,38,648,486,10,0,496
16-Dec,12/2/16,Fri,1608,5632,2,0,795,89,10,24,451,516,6,1,522
16-Dec,12/3/16,Sat,1782,7350,3,0,796,201,18,18,726,389,18,1,407
16-Dec,12/4/16,Sun,1493,2705,1,0,804,122,0,0,336,507,7,0,514
16-Dec,12/5/16,Mon,1706,7079,3,0,710,136,5,25,587,494,46,4,563
16-Dec,12/6/16,Tue,1657,6506,3,0,686,103,39,13,529,582,17,1,600
16-Dec,12/7/16,Wed,1610,4922,2,0,846,127,6,23,483,422,16,0,438
16-Dec,12/8/16,Thu,1661,6535,3,0,892,113,5,23,516,377,30,3,407
16-Dec,12/9/16,Fri,2021,13170,5,0,629,149,21,72,970,540,29,3,569
16-Dec,12/10/16,Sat,1990,12867,5,0,687,153,23,56,928,504,17,1,521
16-Dec,12/11/16,Sun,1555,4510,2,0,822,83,10,23,390,477,25,2,502
16-Dec,12/12/16,Mon,1953,12243,5,0,706,132,51,45,889,492,9,1,506
16-Dec,12/13/16,Tue,1919,11918,5,0,736,108,32,62,832,479,23,2,502
16-Dec,12/14/16,Wed,1635,5606,2,0,741,129,5,20,506,530,15,1,545
16-Dec,12/15/16,Thu,1797,8295,4,0,807,151,7,28,690,432,15,0,447
16-Dec,12/16/16,Fri,1811,8739,4,0,1233,152,14,41,729,0,0,0,0
16-Dec,12/17/16,Sat,1873,8884,4,0,691,242,5,23,846,454,25,1,479
16-Dec,12/18/16,Sun,1858,9164,4,0,820,167,38,2,656,323,16,1,339
16-Dec,12/19/16,Mon,1858,9164,4,0,640,205,32,19,819,608,7,0,618
16-Dec,12/20/16,Tue,1802,8715,4,0,1268,100,38,34,626,0,0,0,0
16-Dec,12/21/16,Wed,1816,8639,4,0,675,170,54,1,726,525,15,0,540
16-Dec,12/22/16,Thu,1814,7995,3,0,723,233,12,8,772,448,16,2,464
16-Dec,12/23/16,Fri,1769,7546,3,0,725,188,34,13,711,450,30,2,480
16-Dec,12/24/16,Sat,1591,3671,2,0,1251,189,0,0,493,0,0,0,0
16-Dec,12/25/16,Sun,1586,6437,3,0,889,150,9,3,464,374,15,2,389
16-Dec,12/26/16,Mon,1831,10671,4,0,1271,92,31,46,716,0,0,0,0
16-Dec,12/27/16,Tue,1842,9160,4,0,665,237,15,0,800,472,7,1,481
16-Dec,12/28/16,Wed,1707,7352,3,0,722,117,39,18,595,547,39,2,586
16-Dec,12/29/16,Thu,1497,3207,1,0,762,106,8,2,335,531,31,1,562
16-Dec,12/30/16,Fri,1658,6345,3,0,1278,130,32,0,536,0,0,0,0
16-Dec,12/31/16,Sat,1783,8484,3,0,718,174,10,19,693,498,21,2,519
17-Jan,1/1/17,Sun,"1,800","9,218",3.79,0,"1,185",149,5,30,695,0,0,0,0
17-Jan,1/2/17,Mon,"1,785","9,243",3.8,0,661,85,51,41,677,643,14,2,657
17-Jan,1/3/17,Tue,"1,831","9,567",3.93,0,729,136,15,43,733,507,16,3,523
17-Jan,1/4/17,Wed,"2,173","16,140",6.63,0,649,165,67,69,"1,173",483,17,1,500
17-Jan,1/5/17,Thu,"1,365","1,044",0.43,0,884,59,0,0,150,480,17,1,497
17-Jan,1/6/17,Fri,"1,664","6,359",2.61,0,"1,277",136,13,14,542,0,0,0,0
17-Jan,1/7/17,Sat,"1,655","5,029",2.06,0,742,200,7,1,574,478,12,0,490
17-Jan,1/8/17,Sun,"1,792","7,576",3.12,0,751,225,1,12,737,433,18,1,451
17-Jan,1/9/17,Mon,"1,807","9,002",3.7,0,725,148,51,14,728,456,14,1,470
17-Jan,1/10/17,Tue,"1,862","9,921",4.07,0,722,162,16,40,789,524,8,0,532
17-Jan,1/11/17,Wed,"1,797","9,303",3.84,0,728,111,42,32,696,504,20,1,527
17-Jan,1/12/17,Thu,"2,020","12,776",5.25,0,"1,179",189,12,60,983,0,0,0,0
17-Jan,1/13/17,Fri,"1,810","8,159",3.35,0,"1,136",220,6,15,756,0,0,0,0
17-Jan,1/14/17,Sat,"1,939","10,783",4.47,0,758,214,12,37,906,473,9,0,482
17-Jan,1/15/17,Sun,"1,800","8,262",3.39,0,898,206,10,17,741,304,5,0,309
17-Jan,1/16/17,Mon,"1,697","6,604",2.87,0,836,132,1,26,570,435,10,1,445
17-Jan,1/17/17,Tue,"1,746","7,689",3.25,0,809,168,3,11,641,433,6,0,439
17-Jan,1/18/17,Wed,"1,868","10,466",4.36,0,752,157,38,21,794,473,9,1,482
17-Jan,1/19/17,Thu,"1,897","10,854",4.46,0,796,150,18,50,825,411,15,1,426
17-Jan,1/20/17,Fri,"1,852","8,839",3.63,0,709,227,20,18,819,456,10,1,466
17-Jan,1/21/17,Sat,"1,761","7,121",2.94,0,790,206,7,16,694,409,12,2,421
17-Jan,1/22/17,Sun,"1,264",0,0,0,"1,440",0,0,0,0,0,0,0,0
17-Jan,1/23/17,Mon,"1,523","4,437",1.82,0,"1,350",66,5,19,334,0,0,0,0
17-Jan,1/24/17,Tue,"1,683","7,542",3.1,0,"1,291",63,34,37,536,0,0,0,0
17-Jan,1/25/17,Wed,"1,973","12,765",5.32,0,768,122,48,50,902,464,3,0,467
17-Jan,1/26/17,Thu,"1,578","4,864",2,0,"1,313",97,5,22,421,0,0,0,0
17-Jan,1/27/17,Fri,"1,823","9,320",3.84,0,793,145,4,41,725,448,12,1,460
17-Jan,1/28/17,Sat,"1,895","10,805",4.44,0,732,127,38,55,824,483,5,0,488
17-Jan,1/29/17,Sun,"1,820","9,007",3.7,0,716,182,3,28,743,497,14,1,511
17-Jan,1/30/17,Mon,"1,949","12,259",5.17,0,799,104,54,53,870,421,9,1,430
17-Jan,1/31/17,Tue,"1,923","10,941",4.51,0,"1,209",163,13,55,860,0,0,0,0
